2025-05-22 14:18:08 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-22 14:18:08 - [OK] Auditado: configuracao_auditoria.json - Hash: 68CBCC5A...
2025-05-22 14:18:08 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-22 14:18:08 - [OK] Auditado: instalar.ps1 - Hash: 69D7C5B8...
2025-05-22 14:18:08 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-22 14:18:08 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-22 14:18:08 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-22 14:18:08 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 8C330F94...
2025-05-22 14:18:08 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-22 14:18:08 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-22 14:18:08 - [OK] Auditado: secretaria_virtual.exe - Hash: 771EECD9...
2025-05-22 14:18:08 - [OK] Auditado: auditoria.ps1 - Hash: D261D0E8...
2025-05-22 14:18:08 - [OK] Auditado: executar.ps1 - Hash: FD0E9ADB...
2025-05-22 14:18:08 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-22 14:18:08 - [OK] Auditado: MenuConfiguracao.ps1 - Hash: F7C95559...
2025-05-22 14:18:08 - [OK] Auditado: auditoria_log.txt - Hash: BA86E812...
2025-05-22 14:18:08 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-22 14:18:08 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-22 14:18:08 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-22 14:18:08 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-22 14:18:08 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-22 14:18:08 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-22 14:18:09 - [REPORT] Relatorio JSON salvo em: C:\Users\felip\secretaria-virtual\logs\auditoria\relatorio_auditoria.json
2025-05-22 14:18:09 - [REPORT] Relatorio TXT salvo em: C:\Users\felip\secretaria-virtual\logs\auditoria\relatorio_auditoria.txt
2025-05-22 14:18:09 - [OK] Auditoria concluida.
