2025-05-21 17:28:02 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 17:28:02 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 17:28:03 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 17:28:03 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 17:28:03 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 17:28:03 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 17:28:03 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 332B79BC...
2025-05-21 17:28:03 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 17:28:03 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 17:28:03 - [OK] Auditado: secretaria_virtual.exe - Hash: 071808B7...
2025-05-21 17:28:03 - [OK] Auditado: auditoria.ps1 - Hash: 57E141A4...
2025-05-21 17:28:03 - [OK] Auditado: executar.ps1 - Hash: A17468D1...
2025-05-21 17:28:03 - [OK] Auditado: homologar.ps1 - Hash: 5E96FAD6...
2025-05-21 17:28:03 - [OK] Auditado: auditoria_log.txt - Hash: FE4D312B...
2025-05-21 17:28:03 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 17:28:03 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 17:28:03 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 17:28:03 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 17:28:03 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 17:28:03 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 17:28:03 - [REPORT] Relatorio JSON salvo em: relatorios\relatorio_auditoria.json
2025-05-21 17:28:03 - [REPORT] Relatorio TXT salvo em: relatorios\relatorio_auditoria.txt
2025-05-21 17:28:03 - [OK] Auditoria concluida.
