
~2025-05-21 17:40:04 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 17:40:04 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 17:40:04 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 17:40:04 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 17:40:04 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 17:40:04 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 17:40:04 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 332B79BC...
2025-05-21 17:40:04 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 17:40:04 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 17:40:04 - [OK] Auditado: secretaria_virtual.exe - Hash: C5F2A4F4...
2025-05-21 17:40:04 - [OK] Auditado: auditoria.ps1 - Hash: A23B8CF9...
2025-05-21 17:40:04 - [OK] Auditado: executar.ps1 - Hash: A17468D1...
2025-05-21 17:40:04 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-21 17:40:04 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-21 17:40:04 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-21 17:40:04 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-21 17:40:04 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-21 17:40:04 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-21 17:40:04 - [OK] Auditado: auditoria_log.txt - Hash: A42C02DA...
2025-05-21 17:40:04 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-21 17:40:04 - [REPORT] Relatorio JSON salvo em: relatorios\json\relatorio_auditoria.json
2025-05-21 17:40:04 - [REPORT] Relatorio TXT salvo em: relatorios\json\relatorio_auditoria.txt
2025-05-21 17:40:04 - [OK] Auditoria concluida.
2025-05-21 17:40:50 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-21 17:40:50 - [OK] Auditado: compilar.ps1 - Hash: 69D7C5B8...
2025-05-21 17:40:50 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-21 17:40:50 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-21 17:40:50 - [OK] Auditado: MenuConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-21 17:40:50 - [OK] Auditado: MenuPaciente.ps1 - Hash: 031CFF7A...
2025-05-21 17:40:50 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 332B79BC...
2025-05-21 17:40:50 - [OK] Auditado: MenuReceitaMedica.ps1 - Hash: 248339FB...
2025-05-21 17:40:50 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-21 17:40:50 - [OK] Auditado: secretaria_virtual.exe - Hash: EA1A6780...
2025-05-21 17:40:50 - [OK] Auditado: auditoria.ps1 - Hash: A23B8CF9...
2025-05-21 17:40:50 - [OK] Auditado: executar.ps1 - Hash: A17468D1...
2025-05-21 17:40:50 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
